,R1,S1,P1,E1,R2,S2,P2,E2,R3,S3,P3,E3,R4,S4,P4,E4,R5,S5,P5,E5,R6,S6,P6,E6,R7,S7,P7,E7,R8,S8,P8,R9,S9,P9,R10,S10,P10,R11,S11,P11,R12,S12,R13,R14,R15,,,,
,Ter prazer no que faço,Ajudar os outros,Supervisionar outras pessoas,Ter melhores condições de vida,Ser feliz com o trabalho que realizo,Colaborar para o desenvolvimento da sociedade,Obter posição de destaque,Estabilidade financeira,Identificar-me com o trabalho,Ser útil para a sociedade,Ter fama,Poder me sustentar,Realização pessoal,Colaborar com colegas para atingir metas do grupo,Ter prestígio,Ser independente financeiramente,Satisfação Pessoal,Amizade com colegas de trabalho,Competir com colegas de trabalho para alcançar minhas metas profissionais,Ganhar dinheiro,Trabalho que requer originalidade/criatividade,Conhecer pessoas,Status no trabalho,Melhorar a qualidade de vida da minha família,Realização profissional,Auxiliar os colegas de trabalho,Ter superioridade baseada no êxito do meu trabalho,Suprir necessidades materiais,Autonomia para estabelecer a forma de realização do trabalho,Combater injustiças sociais,Seguir a profissão da família,Trabalho Interessante,Ter compromisso social,Ter notoriedade,Gostar do que faço,Bom relacionamento com colegas de trabalho,Competitividade,Trabalho intelectualmente estimulante,Mudar o mundo,Enfrentar desafios,Realizar um trabalho significativo para mim,Preservar minha saúde,Crescimento intelectual,Trabalho variado,Aprimorar conhecimentos da minha profissão,"Atualmente, o setor que prefiro me inserir para trabalhar é: ",Minha atual organização é:,Idade,Disponibilizar dados
1,6,6,4,7,6,7,3,7,5,6,1,7,6,5,3,7,6,7,1,7,5,6,2,6,5,5,3,6,5,6,2,5,6,4,6,7,1,3,6,2,6,7,5,7,5,Ambos,Não estou trabalhando,19,Não
2,6,7,4,7,6,7,6,5,5,7,4,7,6,6,4,7,5,5,4,7,4,3,4,6,7,6,2,6,5,3,1,5,4,4,5,5,5,3,4,5,5,7,5,6,7,Setor privado,Não estou trabalhando,18,Sim
3,6,6,4,5,6,5,4,6,7,5,3,7,6,6,5,7,7,7,3,5,6,7,5,7,7,5,4,6,7,7,1,6,5,5,7,7,4,7,7,4,7,7,6,6,6,Setor privado,Não estou trabalhando,19,Sim
4,6,6,4,7,6,6,5,7,7,7,2,7,7,5,5,7,7,6,4,5,3,5,5,7,7,5,4,4,5,4,2,6,6,3,6,6,3,6,5,5,6,6,6,4,5,Setor privado,Não estou trabalhando,19,Sim
5,7,7,3,4,7,7,5,7,7,7,4,7,7,7,4,7,7,7,1,6,7,7,4,4,7,7,1,5,6,7,4,7,7,5,7,7,1,7,7,7,7,7,7,7,7,Ambos,Não estou trabalhando,19,Sim
6,6,5,4,7,7,4,4,7,6,5,2,7,6,4,3,7,6,4,2,5,5,1,2,6,6,3,2,3,4,5,1,5,5,2,5,5,1,6,4,3,6,7,6,5,6,Ambos,Não estou trabalhando,21,Não
7,7,5,2,6,7,7,6,5,5,7,3,6,6,7,5,7,7,5,1,6,4,5,5,6,6,5,2,5,4,5,1,6,5,5,7,7,3,7,6,6,7,4,6,5,6,Setor privado,Não estou trabalhando,18,Sim
8,6,5,4,7,5,5,4,6,4,4,2,7,7,6,3,7,6,6,4,5,5,6,3,7,7,5,6,6,4,5,1,4,4,2,5,6,3,5,5,5,5,5,5,4,4,Setor privado,Não estou trabalhando,20,Não
9,6,5,2,5,5,6,5,6,6,5,1,7,6,6,5,7,6,6,1,6,4,5,6,5,6,5,1,5,4,5,1,6,6,5,6,6,1,6,5,5,7,6,7,4,6,Setor privado,Não estou trabalhando,19,Não
10,7,7,2,7,7,6,6,7,7,5,4,7,7,6,4,7,7,7,1,7,7,7,5,7,7,6,7,6,6,6,3,6,6,5,7,7,2,6,4,7,7,7,7,7,7,Setor privado,Privada,19,Sim
11,7,6,2,6,7,6,7,7,7,6,5,7,7,6,7,7,7,5,3,3,6,4,6,5,7,6,6,5,6,5,1,7,5,7,7,5,5,7,5,7,6,2,6,5,7,Ambos,Pública,21,Não
12,5,6,2,5,6,2,1,7,7,5,1,7,7,3,1,7,4,4,1,7,3,4,1,7,6,3,6,5,4,2,1,5,3,1,6,6,3,7,1,4,7,7,7,1,7,Ambos,Não estou trabalhando,22,Não
13,5,4,4,6,4,5,2,7,4,5,1,7,4,5,2,7,5,6,4,7,4,4,3,7,4,4,6,6,5,5,2,3,5,2,3,6,4,5,3,5,4,6,5,3,6,Setor privado,Não estou trabalhando,19,Sim
14,7,6,3,7,7,6,2,5,5,6,1,7,6,5,4,7,6,6,3,5,4,5,2,7,6,4,3,4,5,4,1,5,5,3,6,6,2,5,6,5,7,7,6,4,5,Ambos,Não estou trabalhando,20,Não
15,7,6,2,6,6,6,2,6,6,6,2,7,7,6,6,7,7,2,2,6,6,6,2,6,6,6,3,3,6,6,1,6,6,6,6,4,2,5,3,6,6,6,6,3,6,Ambos,Privada,23,Sim
16,1,4,1,7,2,1,4,7,1,5,1,7,1,2,1,7,1,2,1,7,4,1,1,7,1,5,1,7,6,1,1,1,5,1,1,1,1,3,1,1,1,1,2,1,5,Setor privado,Privada,20,Não
17,2,6,6,7,7,7,5,7,7,7,1,7,4,7,2,7,4,7,2,7,3,3,3,7,7,5,7,7,7,3,1,7,6,2,2,6,5,5,1,5,5,5,6,4,7,Setor privado,Privada,20,Sim
18,4,4,2,7,4,3,5,7,6,5,1,7,7,5,3,7,6,4,1,7,3,3,1,7,7,5,2,6,2,3,1,4,6,2,4,5,2,5,3,6,7,7,7,4,7,Setor privado,Não estou trabalhando,18,Não
19,6,5,2,7,6,4,6,7,6,6,1,7,7,6,6,7,7,7,1,7,5,5,6,6,7,5,3,7,6,3,1,7,5,5,6,7,2,6,1,3,6,7,6,3,6,Setor privado,Privada,23,Sim
20,6,7,1,7,6,5,2,7,6,5,2,6,6,5,2,7,6,5,1,6,2,7,2,7,6,4,2,7,5,3,1,5,3,2,6,6,1,4,3,2,4,7,6,2,5,Setor privado,Não estou trabalhando,19,Sim
21,5,7,5,7,6,7,7,5,4,5,1,7,7,6,6,7,6,7,4,7,4,5,6,7,7,7,7,5,4,5,2,6,6,7,6,6,5,7,6,7,7,3,7,3,2,Setor privado,Pública,19,Não
22,3,2,1,3,2,1,1,3,1,1,1,1,2,1,2,3,2,2,1,3,1,2,2,2,3,1,1,1,1,1,1,3,1,2,3,3,1,1,1,2,1,1,2,1,3,Setor privado,Privada,18,Não
23,3,6,4,6,4,2,7,6,7,2,2,5,3,7,5,5,5,5,2,6,6,7,4,7,5,7,7,4,6,2,1,7,3,5,7,5,5,7,3,7,4,4,7,5,7,Setor privado,Não estou trabalhando,19,Não
24,7,7,3,7,7,7,5,7,7,7,1,7,7,5,1,7,7,7,3,5,7,7,1,7,7,7,2,3,6,7,1,7,7,1,7,7,3,7,7,7,7,7,7,7,7,Setor privado,Não estou trabalhando,18,Sim
25,7,3,4,6,7,3,6,6,7,4,1,6,7,4,2,7,7,4,3,6,4,4,3,6,7,3,5,6,7,4,4,5,3,2,7,4,2,5,3,4,7,6,6,2,6,Setor privado,Não estou trabalhando,18,Não
26,6,4,3,6,7,5,6,7,6,3,2,6,7,7,5,6,6,6,4,7,3,6,4,6,6,5,4,5,5,2,2,6,2,5,7,7,5,6,3,6,6,6,6,6,6,Setor privado,Não estou trabalhando,20,Não
27,6,4,3,6,7,5,2,1,7,2,2,4,7,2,4,7,7,1,1,4,2,3,1,6,7,5,2,1,5,3,1,7,2,2,6,3,1,3,7,7,5,2,7,1,4,Setor privado,Não estou trabalhando,20,Sim
28,7,3,3,6,7,4,3,5,5,4,2,7,7,5,4,7,7,5,6,5,4,4,3,3,6,4,1,4,5,4,1,7,5,1,7,6,5,7,6,6,7,7,6,4,6,Setor privado,Não estou trabalhando,20,Sim
29,5,4,4,7,5,5,5,7,5,4,4,7,6,5,5,7,6,7,4,7,4,6,4,2,7,5,5,7,5,3,1,6,4,5,6,7,4,6,5,5,7,5,6,4,7,Setor privado,Não estou trabalhando,21,Não
30,6,4,5,6,7,5,7,7,7,6,2,7,7,6,5,7,7,7,2,6,6,5,3,4,4,2,3,5,5,3,1,6,5,6,7,7,1,7,3,4,7,6,5,2,7,Setor privado,Não estou trabalhando,19,Sim
31,6,5,2,6,6,7,5,4,7,7,2,4,6,6,2,6,6,5,3,4,5,5,2,6,6,5,2,5,5,4,1,5,4,2,6,5,4,7,5,5,7,7,7,5,7,Setor público,Privada,28,Sim
32,5,6,4,7,7,7,3,7,6,6,1,7,6,7,3,7,6,4,3,4,5,4,2,6,4,6,2,4,4,6,1,5,6,1,7,5,2,6,6,5,6,7,7,5,6,Ambos,Não estou trabalhando,26,Sim
33,6,5,3,7,5,6,6,7,7,7,2,7,7,6,5,7,7,5,5,7,5,5,6,7,7,7,7,6,5,7,1,6,7,6,6,6,5,6,7,6,7,7,6,4,7,Setor privado,Não estou trabalhando,19,Sim
34,7,4,4,6,7,6,6,7,6,5,1,7,6,4,4,7,6,5,3,7,6,5,4,7,6,5,2,4,6,4,1,6,4,4,6,6,1,6,2,3,4,5,6,6,3,Setor privado,Privada,24,Sim
35,5,4,3,6,5,5,6,6,5,6,3,6,5,6,5,7,5,6,4,6,4,6,5,6,4,6,4,6,5,5,2,6,6,4,5,6,5,5,5,5,5,6,6,5,5,Setor privado,Não estou trabalhando,19,Não
36,7,6,3,7,7,5,5,7,7,6,3,7,7,5,4,7,7,7,1,6,5,5,4,7,7,6,5,5,5,3,1,7,5,5,7,7,3,6,5,5,7,7,6,5,6,Setor privado,Não estou trabalhando,19,Sim
37,6,4,2,6,7,4,4,7,7,6,2,7,7,5,6,7,7,5,4,7,1,2,2,7,7,5,6,3,3,2,1,5,4,4,6,5,4,6,3,5,5,6,6,3,7,Setor privado,Não estou trabalhando,19,Sim
38,6,5,2,6,7,5,4,5,7,5,3,7,7,5,4,5,7,5,1,5,3,4,4,7,7,5,4,5,3,5,1,6,5,4,7,6,3,6,4,5,7,7,5,6,4,Setor privado,Não estou trabalhando,18,Sim
39,7,6,6,7,7,7,6,7,6,7,1,7,7,6,7,7,6,5,1,7,5,3,4,7,7,6,2,6,5,5,1,6,6,3,7,7,1,7,5,5,7,7,7,6,7,Setor privado,Não estou trabalhando,20,Não
40,7,7,4,7,7,7,5,7,7,7,3,7,7,7,4,7,7,7,1,7,6,7,3,7,7,7,5,7,5,7,1,7,7,5,7,7,3,7,7,7,7,7,7,7,7,Setor privado,Não estou trabalhando,19,Sim
41,6,5,4,7,7,6,5,5,6,5,3,6,7,7,5,6,6,4,3,6,7,7,5,4,5,4,5,5,7,5,2,6,5,4,7,6,3,6,6,6,6,7,6,6,6,Setor privado,Não estou trabalhando,19,Sim
42,7,6,3,5,6,6,7,5,6,7,3,5,6,4,5,5,7,3,1,4,4,4,4,5,7,4,2,3,5,6,1,4,6,4,6,5,3,7,7,7,7,3,7,3,7,Ambos,Privada,19,Sim
43,4,2,1,7,7,3,7,5,7,2,1,7,6,7,5,7,3,6,1,7,7,6,2,6,4,7,5,6,1,4,1,7,5,5,6,7,2,7,1,5,6,5,5,1,6,Setor privado,Privada,21,Sim
44,6,5,6,7,6,5,5,7,5,5,3,4,5,4,3,5,6,5,2,6,5,5,6,7,6,5,4,5,4,6,7,6,5,4,6,6,5,6,7,5,6,4,6,6,3,Setor privado,Não estou trabalhando,22,Sim
45,7,5,2,6,7,6,3,7,6,6,2,7,5,4,3,7,5,5,3,6,7,7,2,7,5,5,1,4,4,3,2,7,4,3,7,6,5,6,7,7,7,5,5,4,6,Setor privado,Privada,25,Não
46,6,4,3,6,6,4,5,6,6,5,1,7,6,3,4,7,6,6,2,6,2,5,4,6,6,4,2,6,5,1,1,5,3,4,7,6,3,5,3,6,6,6,5,4,5,Setor privado,Pública,18,Não
47,5,5,4,7,6,4,4,7,5,4,1,7,6,4,4,7,6,5,4,6,4,3,3,6,5,4,1,5,6,5,5,5,4,4,5,6,6,5,2,4,4,6,6,6,7,Setor privado,Não estou trabalhando,18,Não
48,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,7,5,7,7,7,6,7,6,7,7,7,7,7,7,Setor privado,Não estou trabalhando,22,Sim
49,6,6,4,7,6,7,5,7,6,6,2,7,6,5,2,7,7,5,2,7,4,4,2,7,7,5,3,4,5,7,1,5,5,4,6,6,3,5,5,6,7,7,6,2,5,Setor público,Não estou trabalhando,20,Não
50,6,6,1,6,6,5,1,7,6,5,1,6,4,3,1,6,6,3,1,2,5,6,1,6,4,5,5,4,5,1,3,5,5,1,6,4,1,4,4,4,5,5,6,3,6,Setor privado,Não estou trabalhando,19,Não
51,6,5,4,7,6,3,3,7,5,2,1,7,5,4,3,7,5,5,1,7,2,3,3,7,5,3,3,7,3,4,1,6,2,1,6,5,2,2,1,2,5,7,3,5,4,Setor público,Não estou trabalhando,20,Não
52,6,6,4,5,6,6,5,7,7,7,1,7,6,6,5,7,7,5,2,6,5,6,4,6,6,5,3,5,5,5,1,5,6,5,5,5,3,6,6,6,6,6,7,5,7,Setor privado,Não estou trabalhando,19,Não
53,4,3,1,6,4,5,6,4,5,4,2,6,7,5,5,6,5,4,4,6,3,2,3,6,5,3,5,4,3,2,1,5,4,5,5,6,5,6,4,6,6,5,5,3,4,Setor privado,Não estou trabalhando,18,Sim
54,5,3,3,2,5,3,4,7,5,2,2,7,4,4,2,7,4,2,4,4,3,1,2,1,5,3,5,3,2,4,1,2,4,3,3,2,4,6,1,5,3,1,5,3,4,Setor privado,Não estou trabalhando,21,Não
55,3,2,1,3,3,2,2,3,3,3,1,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,1,3,3,1,1,3,1,3,3,3,2,3,1,3,3,2,3,1,3,Setor privado,Não estou trabalhando,23,Não
56,7,6,3,6,7,5,5,6,7,6,3,6,6,7,4,6,6,5,2,6,6,7,4,6,7,5,5,4,6,6,1,6,6,3,7,7,5,6,4,6,7,6,7,7,6,Setor privado,Privada,20,Sim
57,7,6,4,6,6,4,6,7,7,5,6,7,7,6,5,7,7,7,2,7,6,7,4,6,6,6,5,6,6,6,1,7,5,5,7,7,4,6,6,6,6,6,6,6,6,Setor privado,Privada,22,Não
58,5,7,4,6,7,6,7,6,7,7,4,6,6,7,7,7,5,3,4,5,7,7,6,7,6,6,4,5,5,6,1,6,7,7,4,6,7,7,7,7,7,4,6,7,7,Setor privado,Não estou trabalhando,18,Sim
59,7,4,1,7,6,6,6,7,6,6,3,7,5,2,6,7,5,4,2,4,5,4,5,7,6,4,7,4,3,4,1,5,6,4,6,7,2,6,4,4,6,5,6,6,7,Setor privado,Não estou trabalhando,20,Não
60,5,5,1,7,7,1,1,7,7,1,1,7,7,7,1,7,7,7,1,7,4,7,1,7,7,7,1,7,1,1,1,7,1,1,5,7,1,7,1,7,1,1,7,1,7,Setor privado,Privada,19,Não
61,6,5,5,5,7,4,3,7,5,4,2,7,5,6,4,7,5,4,3,6,1,5,2,4,5,5,3,4,3,5,1,5,5,2,6,5,4,6,3,5,6,7,5,3,5,Setor privado,Não estou trabalhando,19,Não
62,5,2,4,7,6,6,7,7,6,5,2,7,7,5,7,7,7,4,2,6,2,1,7,7,7,3,5,7,4,7,1,6,7,7,6,5,4,7,6,7,7,3,7,7,7,Setor privado,Privada,18,Não
63,6,7,5,7,6,6,6,6,4,5,1,6,5,5,4,5,4,5,4,5,4,5,2,7,4,5,5,5,3,6,1,5,6,4,5,5,4,4,7,6,5,7,5,5,5,Setor privado,Não estou trabalhando,20,Sim
64,7,6,1,6,7,7,6,7,7,7,2,7,6,7,5,7,6,7,1,5,6,6,4,6,7,7,2,4,5,7,1,7,7,3,7,7,2,6,6,7,7,5,5,7,7,Setor público,Não estou trabalhando,22,Sim
65,7,6,4,6,7,7,4,6,6,7,1,6,7,7,1,6,7,5,2,5,6,5,5,6,7,6,2,7,7,7,1,6,6,1,7,6,3,7,2,5,6,6,7,7,7,Ambos,Não estou trabalhando,18,Não
66,7,5,3,7,7,4,5,6,7,5,3,7,7,5,4,7,7,7,2,7,6,6,3,7,7,5,3,4,3,4,1,7,4,3,7,7,2,3,4,5,7,7,6,5,6,Setor privado,Privada,19,Sim
67,4,7,2,7,4,7,4,7,4,7,2,7,7,7,2,7,4,5,2,7,4,5,2,7,7,7,6,7,7,4,1,7,4,4,4,5,3,6,1,6,7,7,7,5,7,Ambos,Não estou trabalhando,21,Sim
68,7,7,5,6,7,6,4,7,7,6,1,7,7,7,3,6,7,6,3,4,6,6,3,6,6,6,2,5,4,6,1,6,6,5,7,7,2,5,5,5,7,6,5,4,7,Ambos,Não estou trabalhando,24,Não
69,5,5,3,7,7,6,4,7,5,5,2,7,6,4,2,7,6,6,1,4,3,4,3,7,5,4,3,3,5,4,1,5,4,2,6,6,1,3,3,2,5,7,6,4,5,Ambos,Não estou trabalhando,20,Não
70,7,6,4,7,7,6,7,6,7,7,4,7,7,7,7,7,7,6,4,7,6,7,5,7,7,7,7,6,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Ambos,Não estou trabalhando,18,Sim
71,6,5,3,7,4,7,6,7,3,4,1,6,7,2,1,6,7,5,1,7,3,2,1,7,7,3,2,3,4,6,1,5,6,5,6,4,1,6,7,6,5,3,6,2,5,Setor privado,Privada,22,Não
72,6,5,4,6,7,7,6,7,6,6,3,5,6,6,5,6,7,6,4,7,5,6,6,7,7,5,4,4,5,6,6,6,5,5,5,6,5,6,6,6,6,6,6,6,6,Ambos,Privada,26,Sim
73,4,4,4,7,5,4,4,7,7,7,4,7,7,7,4,7,7,4,1,7,4,4,4,7,7,4,4,4,5,4,1,4,4,4,4,7,4,4,4,6,5,4,4,4,7,Setor privado,Não estou trabalhando,19,Sim
74,6,5,4,7,6,5,6,6,6,6,5,7,6,5,6,7,6,6,2,6,5,7,6,6,7,6,5,6,5,5,2,6,6,6,6,7,4,6,7,6,7,4,7,6,7,Ambos,Pública,24,Sim
75,6,6,2,4,6,3,5,6,6,4,1,7,6,7,5,7,6,7,1,6,6,5,4,3,7,7,6,5,6,3,1,6,2,5,6,7,1,7,1,6,6,4,7,6,5,Setor privado,Pública,19,Sim
76,6,6,4,6,6,5,5,7,5,5,1,7,4,7,1,7,5,6,1,6,4,3,3,7,4,5,1,4,6,4,1,6,4,2,6,7,1,3,4,5,4,6,4,3,5,Setor privado,Privada,25,Não
77,7,6,4,7,7,7,7,7,7,7,1,7,7,7,7,7,7,6,1,7,7,7,6,7,7,7,1,7,7,5,1,7,4,5,6,5,1,7,6,7,7,7,7,4,7,Setor privado,Privada,30,Não
78,3,3,3,7,4,3,6,7,4,4,1,7,6,5,3,7,5,6,1,7,5,5,3,7,6,5,3,5,4,2,1,3,1,1,3,5,4,4,1,4,3,3,3,3,4,Setor privado,Não estou trabalhando,24,Sim
79,6,6,4,7,6,7,7,7,7,5,3,7,7,6,5,7,6,4,2,7,4,5,5,7,7,6,4,6,5,5,2,6,5,6,6,6,2,6,5,5,6,6,6,5,7,Setor privado,Não estou trabalhando,19,Não
80,6,6,3,6,7,6,5,6,6,6,1,6,7,6,5,6,6,6,1,6,6,6,5,5,6,3,2,5,4,5,1,5,6,5,6,6,2,5,4,5,6,5,5,4,6,Setor privado,Não estou trabalhando,20,Sim
81,5,4,3,5,5,3,4,5,4,3,2,6,5,4,3,7,5,4,3,4,5,4,2,5,5,4,4,4,5,3,1,5,4,4,5,5,3,7,5,5,5,6,7,5,4,Setor privado,Não estou trabalhando,21,Sim
82,7,2,1,7,7,2,5,7,7,4,1,7,7,4,4,7,7,7,1,7,1,2,3,7,7,1,4,7,7,4,1,5,5,1,7,7,1,4,2,1,4,7,5,3,4,Setor público,Não estou trabalhando,19,Não
83,6,6,5,7,6,7,5,7,6,7,4,7,5,5,4,7,6,6,2,7,3,6,4,7,6,5,5,7,5,7,2,7,7,5,6,7,1,5,5,3,6,7,6,4,5,Setor privado,Privada,24,Não
84,7,7,5,6,6,6,5,6,5,4,2,7,6,6,3,6,6,5,5,6,5,5,4,7,6,5,5,6,7,5,1,5,5,4,6,6,5,6,4,6,7,7,7,6,5,Setor privado,Privada,26,Não
85,7,3,6,7,7,5,6,7,5,4,2,6,4,5,2,7,7,7,5,7,7,7,5,5,7,4,5,5,5,6,6,7,5,4,7,7,4,7,7,7,7,7,7,7,7,Ambos,Não estou trabalhando,19,Não
86,6,5,4,7,5,6,5,6,4,5,1,7,4,1,2,7,4,3,3,4,5,5,4,4,3,3,2,1,6,6,3,7,5,3,5,4,1,6,4,4,6,2,7,7,7,Ambos,Não estou trabalhando,18,Não
87,6,4,3,4,5,3,2,6,4,4,1,5,6,4,3,4,7,5,3,4,3,5,1,7,6,4,2,3,4,3,1,6,4,2,7,6,4,5,6,5,6,5,6,3,4,Setor privado,Não estou trabalhando,20,Não
88,7,7,7,7,7,7,5,6,7,7,5,6,7,6,6,6,7,5,3,6,6,6,6,6,7,6,5,4,4,6,1,7,7,6,7,5,4,5,7,6,7,5,6,5,7,Ambos,Não estou trabalhando,19,Sim
89,6,6,3,7,7,7,6,7,7,7,3,6,7,5,4,7,7,5,3,6,5,5,3,7,7,4,5,5,5,4,1,6,6,3,6,6,3,7,7,5,7,7,7,5,7,Setor privado,Privada,23,Não
90,7,5,2,7,6,5,4,7,6,4,2,7,6,5,5,7,6,5,2,6,4,5,4,7,7,4,3,5,6,3,1,6,4,3,7,6,4,6,4,5,7,6,6,4,6,Setor privado,Não estou trabalhando,19,Sim
91,6,4,4,6,5,2,6,7,5,3,5,7,7,6,5,4,5,3,2,6,5,5,3,4,4,3,5,6,6,2,1,5,4,6,5,5,3,4,6,2,3,5,5,2,5,Ambos,Não estou trabalhando,21,Não
92,4,3,3,5,5,4,4,6,5,3,1,7,5,5,4,7,5,4,1,7,5,5,2,7,4,5,5,3,4,2,1,5,2,3,3,5,1,5,2,5,5,7,7,7,7,Setor privado,Privada,20,Não
93,7,4,4,6,6,2,5,7,6,3,1,7,7,6,4,7,7,6,2,4,2,5,5,7,5,4,5,3,4,5,1,3,3,4,7,6,5,3,2,5,6,7,6,5,5,Ambos,Não estou trabalhando,20,Não
94,7,5,2,6,7,7,3,5,7,7,1,6,7,5,5,6,6,5,1,5,5,5,1,5,6,5,1,1,3,7,3,7,6,5,7,5,1,3,4,3,7,7,7,5,5,Ambos,Privada,25,Sim
